timestamp_iso,scenario,mode,fps,face_active,body_active,hands_active
2026-04-26T11:15:31,hand_on_face,all,29.99,1,1,0
2026-04-26T11:15:32,hand_on_face,all,29.95,1,1,0
2026-04-26T11:15:33,hand_on_face,all,29.99,1,1,0
2026-04-26T11:15:34,hand_on_face,all,29.99,1,1,0
2026-04-26T11:15:35,hand_on_face,all,29.96,1,1,0
2026-04-26T11:15:36,hand_on_face,all,30.03,1,1,0
2026-04-26T11:15:38,hand_on_face,all,29.94,1,1,0
2026-04-26T11:15:39,hand_on_face,all,30.00,1,1,0
2026-04-26T11:15:40,hand_on_face,all,29.97,1,1,0
2026-04-26T11:15:41,hand_on_face,all,29.95,1,1,0
2026-04-26T11:15:42,hand_on_face,all,30.00,1,1,0
2026-04-26T11:15:43,hand_on_face,all,29.96,1,1,0
2026-04-26T11:15:45,idle,body,25.81,0,1,0
2026-04-26T11:15:46,idle,body,29.92,0,1,0
2026-04-26T11:15:47,idle,body,29.97,0,1,0
2026-04-26T11:15:48,idle,body,29.93,0,1,0
2026-04-26T11:15:49,idle,body,30.00,0,1,0
2026-04-26T11:15:50,idle,body,30.01,0,1,0
2026-04-26T11:15:51,idle,body,29.94,0,1,0
2026-04-26T11:15:52,idle,body,30.00,0,1,0
2026-04-26T11:15:53,idle,body,30.13,0,1,0
2026-04-26T11:15:54,idle,body,29.82,0,1,0
2026-04-26T11:15:55,idle,body,29.95,0,1,0
2026-04-26T11:15:57,idle,body,29.98,0,1,0
2026-04-26T11:15:58,idle,body,30.22,0,1,0
2026-04-26T11:15:59,idle,body,28.88,0,1,0
2026-04-26T11:16:00,idle,body,29.99,0,1,0
2026-04-26T11:16:01,idle,body,29.84,0,1,0
2026-04-26T11:16:02,idle,body,30.18,0,1,0
2026-04-26T11:16:03,idle,body,29.84,0,1,0
2026-04-26T11:16:04,idle,body,29.95,0,1,0
2026-04-26T11:16:05,idle,body,29.93,0,1,0
2026-04-26T11:16:06,idle,body,29.96,0,1,0
2026-04-26T11:16:07,idle,body,30.01,0,1,0
2026-04-26T11:16:08,idle,body,29.97,0,1,0
2026-04-26T11:16:09,idle,body,29.97,0,1,0
2026-04-26T11:16:10,idle,body,30.22,0,1,0
2026-04-26T11:16:11,idle,body,29.97,0,1,0
2026-04-26T11:16:12,idle,body,29.78,0,1,0
2026-04-26T11:16:13,idle,body,29.98,0,1,0
2026-04-26T11:16:14,idle,body,29.99,0,1,0
2026-04-26T11:16:17,body_moving,body,24.90,0,1,0
2026-04-26T11:16:18,body_moving,body,29.96,0,1,0
2026-04-26T11:16:19,body_moving,body,29.93,0,1,0
2026-04-26T11:16:20,body_moving,body,29.97,0,1,0
2026-04-26T11:16:21,body_moving,body,30.00,0,1,0
2026-04-26T11:16:22,body_moving,body,29.86,0,1,0
2026-04-26T11:16:23,body_moving,body,29.95,0,1,0
2026-04-26T11:16:24,body_moving,body,29.97,0,1,0
2026-04-26T11:16:25,body_moving,body,29.97,0,1,0
2026-04-26T11:16:26,body_moving,body,29.23,0,1,0
2026-04-26T11:16:27,body_moving,body,29.90,0,1,0
2026-04-26T11:16:28,body_moving,body,29.82,0,1,0
2026-04-26T11:16:29,body_moving,body,29.25,0,1,0
2026-04-26T11:16:30,body_moving,body,29.88,0,1,0
2026-04-26T11:16:31,body_moving,body,30.03,0,1,0
2026-04-26T11:16:32,body_moving,body,29.82,0,1,0
2026-04-26T11:16:33,body_moving,body,30.11,0,1,0
2026-04-26T11:16:34,body_moving,body,29.82,0,1,0
2026-04-26T11:16:35,body_moving,body,30.17,0,1,0
2026-04-26T11:16:36,body_moving,body,29.95,0,1,0
2026-04-26T11:16:37,body_moving,body,30.01,0,1,0
2026-04-26T11:16:38,body_moving,body,29.90,0,1,0
2026-04-26T11:16:39,body_moving,body,29.97,0,1,0
2026-04-26T11:16:40,body_moving,body,29.20,0,1,0
2026-04-26T11:16:41,body_moving,body,29.81,0,1,0
2026-04-26T11:16:42,body_moving,body,30.01,0,1,0
2026-04-26T11:16:43,body_moving,body,28.95,0,1,0
